store_name,store_address,phone_number,zip_code,latitude,longitude,city_name,state
1981 Broadway New,"1981 Broadway New, York",(212) 209-3400,10023,40.775921,-73.982607,"New York, Upper West Side",New York
940 Madison Avenue New,"940 Madison Avenue New, York",(646) 343-2700,10021,40.769258,-73.958751,"New York, Upper East Side",New York
103 Prince Street New,"103 Prince Street New, York",(212) 226-3126,10012,40.725581,-73.998078,"New York, SoHo",New York
767 Fifth Avenue New,"767 Fifth Avenue New, York",(212) 336-1440,10153,40.763622,-73.972439,"New York, Fifth Avenue",New York
185 Greenwich Street New,"185 Greenwich Street New, York",(646) 802-3800,10007,40.713848,-74.007755,"New York, World Trade Center",New York
401 W 14th Street New,"401 W 14th Street New, York",(212) 444-3400,10014,40.734012,-74.006746,"New York, West 14th Street",New York
45 Grand Central Terminal New,"45 Grand Central Terminal New, York",(212) 284-1800,10017,40.75236,-73.972493,"New York, Grand Central",New York
2655 Richmond Avenue Staten,"2655 Richmond Avenue Staten, Island",(718) 568-2230,10314,40.599263,-74.165748,"Staten Island, Staten Island",New York
1 Destiny USA Drive,"1 Destiny USA Drive, Syracuse",(315) 233-5920,13204,43.050817,-76.177473,"Syracuse, Syracuse",New York
7979 Pittsford-Victor Road,"7979 Pittsford-Victor Road, Victor",(585) 421-6070,14564,42.986699,-77.43436,"Victor, Eastview",New York
125 Westchester Avenue White,"125 Westchester Avenue White, Plains",(914) 539-4530,10601,41.032932,-73.765071,"White Plains, The Westchester",New York
143 Market Street,"143 Market Street, Yonkers",(914) 620-0965,10710,40.967157,-73.846339,"Yonkers, Ridge Hill",New York
4400 Sharon Road,"4400 Sharon Road, Charlotte",(704) 972-3280,28211,35.166342,-80.797285,"Charlotte, SouthPark",North Carolina
8030 Renaissance Parkway,"8030 Renaissance Parkway, Durham",(919) 474-6940,27713,35.89504,-78.923747,"Durham, Southpoint",North Carolina
3320 West Friendly Avenue,"3320 West Friendly Avenue, Greensboro",(336) 291-0486,27410,36.117523,-79.894239,"Greensboro, Friendly Center",North Carolina
8805 Townley Rd,"8805 Townley Rd, Huntersville",(704) 972-0980,28078,35.405286,-80.86402,"Huntersville, Birkdale Village",North Carolina
4325 Glenwood Avenue,"4325 Glenwood Avenue, Raleigh",(919) 334-3400,27612,35.855753,-78.707038,"Raleigh, Crabtree Valley Mall",North Carolina
3265 West Market Street,"3265 West Market Street, Akron",(330) 865-6280,44333,41.16061,-81.630871,"Akron, Summit Mall",Ohio
4422 Cedar Park Drive,"4422 Cedar Park Drive, Beavercreek",(937) 431-4200,45440,39.674725,-84.097808,"Beavercreek, The Greene",Ohio
7875 Montgomery Road,"7875 Montgomery Road, Cincinnati",(513) 826-3620,45236,39.209844,-84.39729,"Cincinnati, Kenwood Towne Centre",Ohio
4210 The Strand,"4210 The Strand, Columbus",(614) 934-2810,43219,40.006091,-82.920945,"Columbus, Easton Town Center",Ohio
1500 Polaris Parkway,"1500 Polaris Parkway, Columbus",(614) 987-1430,43240,40.145121,-82.982819,"Columbus, Polaris Fashion Place",Ohio
5001 Monroe Street,"5001 Monroe Street, Toledo",(419) 473-4250,43623,41.702956,-83.650077,"Toledo, Franklin Park Mall",Ohio
267 Crocker Park Boulevard,"267 Crocker Park Boulevard, Westlake",(440) 788-2800,44145,41.449531,-81.930162,"Westlake, Crocker Park",Ohio
28849 Chagrin Boulevard,"28849 Chagrin Boulevard, Woodmere",(216) 535-4560,44122,41.469494,-81.512442,"Woodmere, Eton",Ohio
1901 NW Expressway Street Oklahoma,"1901 NW Expressway Street Oklahoma, City",(405) 767-6600,73118,35.517968,-97.528718,"Oklahoma City, Penn Square",Oklahoma
7021 S. Memorial Drive,"7021 S. Memorial Drive, Tulsa",(918) 249-7800,74133,36.039284,-95.877444,"Tulsa, Woodland Hills",Oklahoma
450 SW Yamhill Street,"450 SW Yamhill Street, Portland",(503) 265-2010,97204,45.518371,-122.673946,"Portland, Pioneer Place",Oregon
7273 SW Bridgeport Road,"7273 SW Bridgeport Road, Tigard",(503) 670-8400,97224,45.405501,-122.795056,"Tigard, Bridgeport Village",Oregon
9585 SW Washington Square Rd,"9585 SW Washington Square Rd, Tigard",(503) 495-2080,97223,45.44029,-122.776604,"Tigard, Washington Square",Oregon
61 St. James Place,"61 St. James Place, Ardmore",(610) 726-9400,19003,40.001553,-75.298929,"Ardmore, Suburban Square",Pennsylvania
160 N. Gulph Road King of,"160 N. Gulph Road King of, Prussia",(484) 636-5090,19406,40.093268,-75.383637,"King of Prussia, King of Prussia",Pennsylvania
541 Park City Center,"541 Park City Center, Lancaster",(717) 295-8800,17601,40.074241,-76.314914,"Lancaster, Park City",Pennsylvania
1607 Walnut Street,"1607 Walnut Street, Philadelphia",(215) 861-6400,19103,39.952896,-75.174298,"Philadelphia, Walnut Street",Pennsylvania
301 South Hills Village,"301 South Hills Village, Pittsburgh",(412) 308-1970,15241,40.333518,-80.081412,"Pittsburgh, South Hills Village",Pennsylvania
1000 Ross Park Mall Drive,"1000 Ross Park Mall Drive, Pittsburgh",(412) 318-0656,15237,40.549607,-80.043513,"Pittsburgh, Ross Park",Pennsylvania
5508 Walnut Street,"5508 Walnut Street, Pittsburgh",(412) 316-2460,15232,40.452517,-79.931939,"Pittsburgh, Shadyside",Pennsylvania
250 Lehigh Valley Mall,"250 Lehigh Valley Mall, Whitehall",(610) 266-4860,18052,40.657428,-75.504255,"Whitehall, Lehigh Valley",Pennsylvania
2500 West Moreland Road Willow,"2500 West Moreland Road Willow, Grove",(215) 346-8160,19090,40.157452,-75.124753,"Willow Grove, Willow Grove Park",Pennsylvania
20 Providence Place,"20 Providence Place, Providence",(401) 533-9400,02903,41.81823,-71.409088,"Providence, Providence Place",Rhode Island
301 King Street,"301 King Street, Charleston",(843) 727-0400,29401,32.77718,-79.932,"Charleston, Charleston",South Carolina
700 Haywood Road,"700 Haywood Road, Greenville",(864) 987-7580,29607,34.81279,-82.331714,"Greenville, Haywood Mall",South Carolina
1800 Galleria Boulevard,"1800 Galleria Boulevard, Franklin",(615) 435-0620,37067,35.91229,-86.780262,"Franklin, CoolSprings Galleria",Tennessee
2031 West Street,"2031 West Street, Germantown",(901) 751-6980,38138,35.084827,-89.799331,"Germantown, Saddle Creek",Tennessee
7600 Kingston Pike,"7600 Kingston Pike, Knoxville",(865) 824-2507,37919,35.914748,-84.000169,"Knoxville, West Town Mall",Tennessee
500 Broadway,"500 Broadway, Nashville",(615) 9861140,37203,36.149614,-86.790618,"Nashville, Downtown Nashville",Tennessee
2126 Abbott Martin Road,"2126 Abbott Martin Road, Nashville",(615) 514-2430,37215,36.081868,-86.834691,"Nashville, Green Hills",Tennessee
3121 Palm Way,"3121 Palm Way, Austin",(512) 691-4800,78758,30.387979,-97.706853,"Austin, Domain NORTHSIDE",Texas
2901 S. Capital of Texas Hwy,"2901 S. Capital of Texas Hwy, Austin",(512) 634-0520,78746,30.296865,-97.809578,"Austin, Barton Creek",Texas
3101 Knox Street,"3101 Knox Street, Dallas",(214) 520-8532,75205,32.835893,-96.795514,"Dallas, Knox Street",Texas
8687 North Central Expressway,"8687 North Central Expressway, Dallas",(214) 765-0820,75225,32.864887,-96.790359,"Dallas, NorthPark Center",Texas
13350 Dallas Parkway,"13350 Dallas Parkway, Dallas",(972) 942-7210,75240,32.930338,-96.787496,"Dallas, Galleria Dallas",Texas
8401 Gateway Boulevard West El,"8401 Gateway Boulevard West El, Paso",(915) 774-8020,79925,31.79695,-106.35688,"El Paso, Cielo Vista Mall",Texas
1620 S. University Drive Fort,"1620 S. University Drive Fort, Worth",(817) 840-9801,76107,32.742058,-97.38173,"Fort Worth, University Park Village",Texas
500 Baybrook Mall,"500 Baybrook Mall, Friendswood",(281) 204-0500,77546,29.515074,-95.192133,"Friendswood, Baybrook",Texas
5085 Westheimer Road,"5085 Westheimer Road, Houston",(713) 353-5471,77056,29.748202,-95.468948,"Houston, Houston Galleria",Texas
2000 Willowbrook Drive,"2000 Willowbrook Drive, Houston",(281) 571-4400,77070,29.979648,-95.572877,"Houston, Willowbrook Mall",Texas
303 Memorial City,"303 Memorial City, Houston",(713) 986-2476,77024,29.772179,-95.514203,"Houston, Memorial City",Texas
4012 Westheimer Road,"4012 Westheimer Road, Houston",(832) 325-3500,77027,29.740079,-95.446409,"Houston, Highland Village",Texas
15900 La Cantera Parkway San,"15900 La Cantera Parkway San, Antonio",(210) 276-2302,78256,29.622289,-98.626164,"San Antonio, La Cantera",Texas
7400 San Pedro Avenue San,"7400 San Pedro Avenue San, Antonio",(210) 321-4420,78216,29.537264,-98.487882,"San Antonio, North Star",Texas
260 Grand Avenue,"260 Grand Avenue, Southlake",(817) 722-1401,76092,32.959875,-97.148437,"Southlake, Southlake Town Square",Texas
16535 Southwest Freeway Sugar,"16535 Southwest Freeway Sugar, Land",(281) 269-3410,77479,29.566996,-95.636016,"Sugar Land, First Colony Mall",Texas
1201 Lake Woodlands Drive The,"1201 Lake Woodlands Drive The, Woodlands",(281) 203-6870,77380,30.136972,-95.46836,"The Woodlands, The Woodlands",Texas
148 N. East Promontory,"148 N. East Promontory, Farmington",(801) 218-9501,84025,40.980801,-111.904831,"Farmington, Station Park",Utah
6191 S State Street,"6191 S State Street, Murray",(801) 905-4410,84107,40.658025,-111.88445,"Murray, Fashion Place",Utah
50 South Main Street Salt Lake,"50 South Main Street Salt Lake, City",(801) 456-9400,84101,40.756383,-111.900062,"Salt Lake City, City Creek Center",Utah
2700 Clarendon Boulevard,"2700 Clarendon Boulevard, Arlington",(703) 236-7970,22201,38.886565,-77.095231,"Arlington, Clarendon",Virginia
1100 South Hayes Street,"1100 South Hayes Street, Arlington",(703) 236-1550,22202,38.856868,-77.051492,"Arlington, Pentagon City",Virginia
11750 Fair Oaks,"11750 Fair Oaks, Fairfax",(703) 251-7400,22033,38.875218,-77.384713,"Fairfax, Fair Oaks",Virginia
7926 Tysons Corner Center,"7926 Tysons Corner Center, McLean",(703) 336-8450,22102,38.95095,-77.229544,"McLean, Tysons Corner",Virginia
11937 Market Street,"11937 Market Street, Reston",(571) 449-4800,20190,38.959322,-77.339298,"Reston, Reston",Virginia
11800 W. Broad Street,"11800 W. Broad Street, Richmond",(804) 420-3000,23233,37.646431,-77.624235,"Richmond, Short Pump Town Center",Virginia
701 Lynnhaven Parkway Virginia,"701 Lynnhaven Parkway Virginia, Beach",(757) 306-2480,23452,36.845756,-76.092807,"Virginia Beach, Lynnhaven Mall",Virginia
15100 Potomac Town Place,"15100 Potomac Town Place, Woodbridge",(703) 986-2030,22191,38.622914,-77.262938,"Woodbridge, Potomac Town Center",Virginia
213 Bellevue Square,"213 Bellevue Square, Bellevue",(425) 519-0080,98004,47.618337,-122.205341,"Bellevue, Bellevue Square",Washington
3000 184th Street S.W.,"3000 184th Street S.W., Lynnwood",(425) 921-1560,98037,47.839223,-122.285464,"Lynnwood, Alderwood",Washington
2651 NE 49th St,"2651 NE 49th St, Seattle",(206) 892-0433,98105,47.659861,-122.284977,"Seattle, University Village",Washington
710 West Main Avenue,"710 West Main Avenue, Spokane",(509) 458-8080,99201,47.66236,-117.437255,"Spokane, River Park Square",Washington
4502 S Steele Street,"4502 S Steele Street, Tacoma",(253) 620-1454,98409,47.210957,-122.481577,"Tacoma, Tacoma Mall",Washington
801 Southcenter Mall,"801 Southcenter Mall, Tukwila",(206) 288-4400,98188,47.446413,-122.272098,"Tukwila, Southcenter",Washington
5715 N Centerpark Way,"5715 N Centerpark Way, Glendale",(414) 977-3410,53217,43.158204,-87.913225,"Glendale, Bayshore",Wisconsin
444 North Midvale Boulevard,"444 North Midvale Boulevard, Madison",(608) 827-9840,53705,43.074014,-89.460509,"Madison, Hilldale",Wisconsin
2500 N. Mayfair Road,"2500 N. Mayfair Road, Wauwatosa",(414) 290-9780,53226,43.048954,-88.042234,"Wauwatosa, Mayfair",Wisconsin
